id_exercises ;name_of_exercises;exercises_description;equipment;rating
681;Carioca quick step;The carioca quick step is a lateral bodyweight exercise targeting the adductors but also promoting agility and overall conditioning. It’s a favorite of football players, particularly defensive backs, because it mimics the way they have to track wide receivers downfield. It can also help mobilize the hips for athletes and lifters of all ability levels.;Body Only;8
682;Standing hip circle;"The standing hip circle is a bodyweight exercise targeting the hips and abductor muscles. It is a classic way to ""limber up"" after sitting for a long period or before a lower-body workout or sports. It requires no equipment and can be helpful for everyone from beginners to advanced fitness enthusiasts.";Body Only;7
683;Lateral cone hop;The lateral cone hop is an agility drill that involves jumping over cones or other short hurdles side to side rather than front to back. It can be performed for reps or for time and can be beneficial for track athletes, basketball players, or any other athletes who need explosive lateral power.;Body Only;8
684;Side-To-Side Adductor Stretch;none;Body Only;7
685;Dynamic pigeon stretch;The dynamic pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but involves moving in and out of the pose. It can be part of a dynamic warm-up or mobility work performed anytime.;Body Only;8
686;Cross-over jack;The cross-over jack is a variation on the jumping jack, a popular calisthenics exercise used to improve overall conditioning. The difference between the jumping jack and the cross-over jack is that with the latter, the feet don't just come together each rep, they cross over each other. It's a great way to add variety to your warm-up or conditioning work.;Body Only;7
687;Traveling thigh killa;The traveling thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops forward and backward, as well as bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.;Body Only;8
688;FYR Thigh Killa;The thigh killa is a challenging lower-body bodyweight exercise that builds muscular endurance with a series of hops and bodyweight squats. It can be performed for time or reps, usually in a circuit workout or as a lower-body finisher.;Body Only;7
689;HM Straddle Stretch;none;Body Only;8
690;HM Right Leg Swing;none;Body Only;7
691;HM Right Side-Kick;none;Body Only;8
692;HM Frog Stretch;none;Body Only;7
693;HM Kick-Out;none;Body Only;8
694;HM Left Leg Swing;none;Body Only;7
695;UNS Foam Roll Adductor;none;Body Only;8
696;MetaBurn Groiner;none;Body Only;7
697;Side-lying leg adduction scissor;"The side-lying leg adduction scissor is a dynamic core exercise that combines the isometric hold of a side-lying leg lift with leg adductions to further challenge the core and adductors. It targets multiple muscles of the core, primarily the rectus abdominis or ""six-pack"" muscles. It can be performed for time or reps in the ab-focused portion of any workout.";Body Only;8
698;Groin and Back Stretch;none;None;7
699;Adductor/Groin;none;None;8
700;Incline dumbbell biceps curl;The incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.;Bands;7
701;Banded biceps curl in squat position;The banded biceps curl in squat position is an exercise targeting the biceps, although it also works the core and lower body.;Bands;8
702;Banded Hammer Press - Gethin Variation;The machine chest press is an upper body exercise targeting the pectoral muscles.;Bands;7
703;Band standing concentration curl;The band standing concentration curl is a variation of a popular biceps-focused exercise utilizing a band instead of a dumbbell. It allows you to focus on one biceps at a time and really squeeze out intense peak contractions. Band concentration curls are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.;Bands;8
704;Brachialis SMR;"Brachialis self-myofascial release (SMR) is a self-administered soft-tissue treatment for the upper body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the biceps or brachialis muscles of the upper arm, some people find they can cause this often painful and tight muscle to relax or ""release."" Brachialis SMR is often accompanied by SMR on the triceps muscles or pectorals, or by stretches that target the biceps or pecs.";Foam Roll;7
705;Wide-grip barbell curl;"The wide-grip barbell curl is a variation of the classic barbell curl with the grip wider than shoulder width. It is thought that this helps build the inner or ""short"" head of the biceps muscles. This movement is usually performed for moderate to high reps, such as 8-12 reps per set.";Barbell;8
706;EZ-bar spider curl;The EZ-bar spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The EZ-bar makes for a more comfortable wrist position, while the angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.;Barbell;7
707;Barbell Curl;The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.;Barbell;8
708;Close-grip EZ-bar curl;The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard EZ-bar curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.;Barbell;7
709;Preacher Curl;The EZ-bar preacher curl is a classic exercise for building bigger biceps. This move is all about isolation. With the back of the upper arms against the pad, it’s next to impossible to cheat. Go light, get a great pump, and build that peak!;Barbell;8
710;Barbell Curls Lying Against An Incline;none;Barbell;7
711;Seated Close-Grip Concentration Barbell Curl;none;Barbell;9
712;Close-grip barbell curl;The close-grip barbell curl is a curl variation where the hands are closer than shoulder width. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set.;Barbell;7
713;Drag curl;"The drag curl is a biceps exercise that attempts to remove the influence of the front deltoids on the classic curl. With the elbows kept back, the barbell ""drags"" up the torso. It is usually performed for moderate to high reps, such as 8-15 reps per set, as part of an upper-body or arms-focused workout.";Barbell;7
714;Reverse-grip barbell curl;The reverse-grip barbell curl is a variation on the biceps curl where the palms face downward. The switch from an underhand to an overhand grip brings the forearm and brachialis muscles more into the exercise. If it is uncomfortable to the wrists, try performing it on the angles of an EZ-curl bar.;Barbell;7
715;Lying High Bench Barbell Curl;none;Barbell;7
716;Seated wide-grip curl to close-grip curl;The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. It is thought that wide-grip curls target the inner head of the biceps more, while close-grip curls target the outer head or peak. This variation allows you to get the benefits of both.;Barbell;8
717;Seated Straigh-Bar Curl Superset;The seated wide-grip curl to close-grip curl is a variation on the classic seated dumbbell curl. The variation is that the range of motion changes in alternating fashion—one more traditional, one where you’re bringing the weight in more from the side.;Barbell;8
718;Dave Draper Forehead Curl;none;Barbell;8
719;Reverse-grip EZ-bar curl;The reverse-grip EZ-bar curl is an exercise targeting the biceps and forearms. Because grip strength is a limitation with this move, it is often performed for moderate to high reps as part of an upper-body or arm-focused workout.;Barbell;8
720;EZ-Bar Spider Curl - Gethin Variation;The EZ-bar spider curl is an isolation exercise targeting the biceps and performed face-down on an incline bench. The EZ-bar makes for a more comfortable wrist position.;Barbell;8
721;Barbell curl-;The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.;Barbell;8
722;Paul Carter Barbell Curl;The barbell curl is an arm exercise that is also one of the most recognizable movements in all of bodybuilding and fitness. It helps build sleeve-popping biceps and allows heavier loading than many other curl variations. It is usually performed in moderate to high reps, such as 8-12 reps per set, as part of the arm-focused portion of any workout.;Barbell;8
723;Standing band biceps curl;The standing band biceps curl is an arm-focused exercise using a band for resistance. This variation is usually performed for moderate to high reps as part of an arms-focused or upper-body workout.;Barbell;8
724;Close-Grip EZ-Bar Curl - Gethin Variation;The close-grip EZ-bar curl is an exercise targeting the biceps, particularly the long head. The main difference between this exercise and standard barbell curls is that the hands are positioned closer together on the bar. It is thought that this helps build the outer biceps head and the peak. This curl variation is usually performed for moderate to high reps, like at least 8-12 reps per set.;Barbell;8
725;Seated Barbell Curl;none;Barbell;8
726;AM Standing Barbell Curl;The standing EZ-bar curl is an immenselyp popular exercise targeting the biceps. It is commonly performed for moderate to high reps as part of an upper body or arms-focused workout. Many gyms even have EZ-bars at fixed weights, allowing for easy weight changes.;Barbell;8
727;EZ-bar preacher curl;none;Barbell;8
728;30 Arms Standing Barbell Curl;none;Barbell;8
729;30 Arms Incline Biceps Curl;none;Barbell;8
730;"Bicep Curls ""21s""";none;Barbell;8
731;Incline Hammer Curls;none;Dumbbell;8
732;Hammer Curls;This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;8
733;Biceps curl to shoulder press;The biceps curl to shoulder press is a dumbbell complex that combines two exercises that build and strengthen the biceps and shoulders or deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit two crucial upper-body muscles in any workout.;Dumbbell;8
734;Concentration curl;The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Dumbbell;8
735;Flexor Incline Dumbbell Curls;none;Dumbbell;8
736;Dumbbell Bicep Curl;The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Dumbbell;8
737;Cross-body hammer curl;The cross-body hammer curl is a dumbbell exercise that targets the biceps, brachialis, and forearm muscles. Rather than lifting the weights directly in front of the body, you lift them across the torso. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. This helps isolate the brachialis muscles on each arm. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.;Dumbbell;8
738;Dumbbell Alternate Bicep Curl;The alternating biceps curl is a single-joint exercise for building bigger and stronger biceps one arm at a time. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Dumbbell;8.7
739;Single-arm dumbbell preacher curl;The single-arm dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. Most people will go light on this movement, performing it for moderate to high reps as part of an upper-body or arms-focused workout.;Dumbbell;8.7
740;Alternate Incline Dumbbell Curl;The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.;Dumbbell;8.7
741;Standing concentration curl;The standing concentration curl is a variation on the more common seated concentration curl, which is a staple of bodybuilding arm routines. It can serve as a substitute for preacher curl variations if a preacher bench is unavailable and is also a classic way to focus in on the biceps peak. It is usually performed for moderate to high reps, such as 8-10 reps per set, with a focus on strict form and controlled tempo.;Dumbbell;8.7
742;Alternating incline dumbbell biceps curl;The alternating incline dumbbell biceps curl is an exercise targeting the biceps and performed face up on an incline bench. This creates a vertical arm angle which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 rep per arm or more, as part of upper-body or arm-focused training.;Dumbbell;8.6
743;Alternate Hammer Curl;The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;8.6
744;Seated dumbbell biceps curl;The seated dumbbell biceps curl is a popular exercise for building bigger biceps. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Dumbbell;8.6
745;Preacher Hammer Dumbbell Curl;none;Dumbbell;8.6
746;Dumbbell preacher curl;The dumbbell preacher curl is an exercise that focuses on building the biceps, particularly the biceps peak. All you need is a pair of dumbbells and a preacher bench. It's usually performed for moderate to high reps as part of an upper-body or arms-focused workout.;Dumbbell;8.3
747;Lying Supine Dumbbell Curl;;Dumbbell;8.3
748;Standing Dumbbell Reverse Curl;With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can performed standing or seated.;Dumbbell;8.1
749;Palms-out incline biceps curl;"The palms-out incline biceps curl is an exercise targeting the biceps. It is largely similar to the incline dumbbell curl, but the palms-out position targets the long head of the biceps, which is responsible for the biceps ""peak."" This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.";Dumbbell;8
750;Straight-arm plank with biceps curl;The straight-arm plank with biceps curl is a hybrid movement that trains the abdominal and biceps muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing an additional cardiovascular challenge.;Dumbbell;7.7
751;Face-down incline dumbbell biceps curl;The face-down incline dumbbell biceps curl is an exercise targeting the biceps and performed face down on an incline bench. This creates a vertical arm angle, which helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.;Dumbbell;7.6
752;Seated Dumbbell Inner Biceps Curl;none;Dumbbell;7.4
753;Standing Inner-Biceps Curl;none;Dumbbell;7.4
754;Seated hammer curl;The seated hammer curl is a popular exercise for building bigger biceps and forearms. The movement resembles hammering a nail—hence the name. While curls can effectively be performed standing as well, performing them seated can enforce strict form and perhaps boost the mind-muscle connection. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Dumbbell;7
755;Paul Carter Incline Dumbbell Biceps Curl;The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.;Dumbbell;7
756;Paul Carter Concentration Curl;The concentration curl is a classic exercise for building the biceps one arm at a time. It can be performed bent over or kneeling, but is more often performed seated on a bench. It's great for emphasizing the biceps peak and is often used to finish a biceps workout. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Dumbbell;7
757;FYR Dumbbell Curl;The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Dumbbell;7
758;Dumbbell biceps curl to upright row;The dumbbell biceps curl to upright row is a dumbbell complex that combines two exercises that build and strengthen the biceps, traps, and the middle head of the deltoids. It is usually performed one rep of each movement at a time, although you could perform more reps of each, or increase the reps in successive rounds (e.g., 1 rep in round 1, 2 reps in round 2, etc.). No matter how you structure the sets and reps, it is a time-efficient way to hit multiple upper-body muscles in any workout.;Dumbbell;7
759;FYR Dumbbell Hammer Curl;This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;7
760;Dumbbell overhead hold with single-arm curl;The dumbbell overhead hold with single-arm curl combines an isometric overhead hold with a curl for the other arm. The two movements collectively target the muscles of the shoulders and arms, while providing a surprising core challenge. Expect to be challenged, even with light weight.;Dumbbell;7
761;FYR Kneeling Biceps;The kneeling concentration curl allows you to target the biceps without having the ability to use momentum from the rest of your body to move the weight.;Dumbbell;7
762;Lunge hold dumbbell curl;The lunge hold dumbbell curl is a challenging complex that combines an isometric hold at the bottom of a lunge with a dumbbell biceps curl. The two exercises combine to target the legs, core, and biceps. The curl will determine the amount of weight you can use, but even a light weight will make the lunge hold seriously challenging.;Dumbbell;7
763;FYR Dumbbell Biceps Curl;The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Dumbbell;7
764;Alternating dumbbell snatch;The alternating dumbbell snatch is an explosive exercise that builds full-body power and targets the muscles of the hips, back, and shoulders. Performing it by alternating arms gives each arm the chance to recover, allowing you to do a greater amount of quality work. It can be performed for low reps with a focus on power and speed, or for higher reps to build muscle or as part of a metabolic conditioning circuit.;Dumbbell;7
765;TBS Incline Dumbbell Curl;The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.;Dumbbell;8
766;TBS Hammer Curl;The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;8
767;Reverse-grip dumbbell curl;With the reverse-grip dumbbell curl, the palms face down, not up. This unorthodox wrist position simultaneously targets the biceps while also building forearm and grip strength. The move can be performed standing or seated. Because grip is a limiting factor, it is usually performed for moderate to high reps, such as 8-10 reps per set.;Dumbbell;8
768;Incline Dumbbell Curl - Gethin Variation;The incline dumbbell biceps curl is an isolation exercise targeting the biceps. This variation targets the long head of the biceps more than a traditional curl and there is more overall tension to this muscle.;Dumbbell;8
769;Hammer curl;The hammer curl is a dumbbell movement that focuses on the biceps, brachialis, and forearm muscles. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.;Dumbbell;8
770;Seated Dumbbell Curl - Gethin Variation;The seated dumbbell biceps curl is a standard exercise for building bigger biceps. While dumbbell biceps curls can be performed standing, this version involves sitting on a bench.;Dumbbell;8
771;Dumbbell Hammer Curl - Gethin Variation;This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;8
772;Single-arm seated dumbbell curl;The single-arm seated dumbbell curl is a popular exercise for building bigger biceps. Performing it one arm at a time may allow you to use slightly heavier weight, while focusing on really feeling the mind-muscle connection in the working arm. Like most curl variations, these are usually performed for moderate to high reps, such as 8-12 reps per set or more.;Dumbbell;8
773;Lying Cable Curl - Gethin Variation;The lying cable biceps curl is an isolation exercise that eliminates the possibility of using momentum from the lower body to raise the weight.;Dumbbell;8
774;Dumbbell biceps curl;The dumbbell biceps curl is a single-joint exercise for building bigger and stronger biceps. Popular among gym goers of all experience levels, this move can be done seated or standing. It is generally performed for moderate to high reps, such as 8-12 reps or higher, as part of the arm-focused portion of a workout.;Dumbbell;8
775;Seated Biceps Hammer Curl;none;Dumbbell;8
776;HM Alternating Reverse Lunge With Biceps Curl;none;Dumbbell;8
777;AM Hammer Curls;This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail.;Dumbbell;8
778;AM Seated Hammer Curls;The seated hammer curl is a popular exercise for building bigger biceps. The movement resembles hammering a nail—hence the name. While hammer can be performed standing, this version involves sitting on a bench.;Dumbbell;8
779;Seated alternating biceps curl;The seated alternating biceps curl is an exercise that builds bigger and stronger biceps. The alternating technique allows one arm to rest briefly while the other arm lifts. It is usually performed for moderate to high reps, such as 8-12 reps or more, as part of the upper-body or arm-focused portion of a workout.;Dumbbell;8
780;Alternating hammer curl;The alternating hammer curl is performed with dumbbells but without wrist supination. Throughout each rep, the wrists remain neutral, like a carpenter hammering a nail. It is generally performed for moderate to high reps, such as 8-12 reps or more, as part of the arm-focused portion of a workout.;Dumbbell;9
781;Alternating biceps curl;none;Dumbbell;9
782;Holman Slow Biceps Curl;none;Dumbbell;9
783;Holman Biceps Curl to Chest Punch;none;Dumbbell;9
784;Holman Right Arm Heavy Biceps Curl;none;Dumbbell;9
785;Holman Left Arm Heavy Biceps Curl;none;Dumbbell;9
786;Holman Alternating Front Lunge Biceps Curl;none;Dumbbell;9
787;Holman Weighted Double-Time Biceps Curl;none;Dumbbell;9
788;Holman Heavy Right Arm Biceps Curl;none;Dumbbell;9
789;Holman Heavy Left Arm Biceps Curl;none;Dumbbell;9
790;MetaBurn Dumbbell Drag Curl;none;Dumbbell;8
791;MetaBurn Hammer Curl to Overhead Press;none;Dumbbell;8
792;MetaBurn Biceps Curl To Lateral Raise;none;Dumbbell;8
793;FYR2 Alternating Dumbbell Curl;none;Dumbbell;9
794;FYR2 Pulse Biceps Curl;none;Dumbbell;9
795;FYR2 Seesaw Dumbbell Biceps Curl;none;Dumbbell;9
796;FYR2 Single-Dumbbell Biceps Curl;none;Dumbbell;9
797;FYR2 Dumbbell Curl-Row Complex;none;Dumbbell;9
798;30 Arms Standing Dumbbell Hammer Curl 21s;none;Dumbbell;9
799;30 Arms Standing Biceps Curl;none;Dumbbell;9
800;30 Arms Standing Alternating Hammer Curl;none;Dumbbell;9
801;30 Arms Standing Alternating Biceps Curl;none;Dumbbell;9
802;30 Arms Single-Arm Hammer Preacher Curl;none;Dumbbell;9
803;30 Arms Single-Arm Dumbbell Preacher Curl;none;Dumbbell;8
804;30 Arms Seated Dumbbell Concentration Curl;none;Dumbbell;8
805;30 Arms Seated Biceps Curl;none;Dumbbell;8
806;30 Arms Seated Alternating Biceps Curl;none;Dumbbell;8
807;30 Arms Incline Hammer Curl;none;Dumbbell;8
808;30 Arms Incline Dumbbell Triceps Extension;none;Dumbbell;8
809;30 Arms Hammer Curl;none;Dumbbell;8
810;Reverse Plate Curls;none;Other;8
811;Standing Biceps Stretch;none;Other;8
812;Suspended Curl;none;Other;8
813;Plate hammer curl;The plate hammer curl is an exercise that targets the long head of the biceps as well as the brachialis and brachioradialis muscles. Typically hammer curls are done with dumbbells, but in this case, holding a weight plate places the hands in the same neutral position.;Other;8
814;Barbell spider curl;The barbell spider curl is an exercise targeting the biceps and performed face down on either an incline bench or on the flat side of a preacher bench. The vertical bench angle helps to isolate the biceps and limit involvement of the shoulder muscles. This curl variation is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of upper-body or arm-focused training.;Other;8
815;Barbell forehead curl;"The barbell forehead curl is a classic movement from the Golden Age of bodybuilding and is often associated with Dave ""The Blond Bomber"" Draper. The barbell is brought up to your forehead instead of to your chest, emphasizing the squeeze and peak contraction. It is usually performed for moderate to high reps, such as 8-12 reps per set.";Other;8
816;Overhead cable curl;Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.;Cable;8
817;Standing One-Arm Cable Curl;"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating.";Cable;8
818;Reverse Cable Curl;none;Cable;7
819;Standing Biceps Cable Curl;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Cable;7
820;Cable rope hammer curl;The cable rope hammer curl is a popular arm-focused exercise performed with a rope handle attached by a cable to a weight stack. It uses a neutral (palms facing one another) grip, which targets the forearms and brachialis muscles in addition to the biceps. Because grip is a limitation, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.;Cable;7
821;Lying cable biceps curl;The lying cable biceps curl is a cable exercise that targets the biceps. It is performed lying on the back, either on a bench or the ground, with the feet facing toward a cable stack. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.;Cable;7
822;Cable rope preacher hammer curl;"The cable rope preacher hammer curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack, a preacher bench, and a rope grip. The neutral or ""hammer"" grip amplifies activation of both the grip and the brachialis muscles, building arm thickness. The angle of the bench also effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.";Cable;7
823;Lying Close-Grip Bar Curl On High Pulley;The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.;Cable;7
824;Cable EZ-Bar Preacher Curl - Gethin Variation;The cable preacher curl is a single-joint arm exercise that builds strength and size in the biceps using a cable stack and a preacher bench. It is popular in muscle-building arm workouts because the angle of the bench effectively removes the shoulders from the movement, largely isolating the biceps. It is generally performed for higher reps, at least 8-15 per set.;Cable;7
825;Squatting cable EZ-bar biceps curl;The squatting cable EZ-bar biceps curl is an exercise that builds and strengthens the biceps while the lower body is in a static squat position. It is usually performed for higher rep sets, such as 8-12 reps per set or more, in combination with other curls or arm training. It is most similar in arm positioning to a preacher curl, but has some unique benefits to the lower body, as well.;Cable;7
826;Cable straight-bar biceps curl;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Cable;7
827;Standing reverse-grip cable curl;The standing reverse-grip cable curl takes a classic bodybuilding exercise, the reverse barbell curl, and tweaks it by using a handle attached to a cable stack instead. It targets the forearm muscles and brachialis to a greater degree than underhand biceps curl variations. Because grip is a limitation, this move is commonly performed for moderate to high reps, such as 8-12 reps per set or more, as part of an upper-body or arm-focused workout.;Cable;8
828;Lying high-cable biceps curl;The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.;Cable;7
829;High-Pulley Cable Curl - Gethin Variation;Also known as a crucifix curl, the overhead cable curl is a biceps-focused exercise performed between two cable stacks, using a pair of D-handles. The arms and elbows are held at shoulder height throughout the movement, and both hands curl in toward the ears. This position is designed to eliminate shoulder involvement and momentum, while targeting the biceps peak. This movement is generally done for moderate to high reps, such as 8-12 reps per set or more, as part of arm-focused training.;Cable;7
830;Standing High Cable Curl - Gethin Variation;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Cable;7
831;High Cable Curls;The lying high-cable biceps curl is a single-joint exercise targeting the biceps in a prone (face-up) position. It is usually performed for moderate to high reps as part of the arm-focused portion of a workout.;Cable;8
832;Seated cable biceps curl;The seated cable biceps curl is a single-joint arm exercise intended to isolate the biceps. The seated position helps eliminate the use of momentum. This movement is usually performed for moderate to high reps for a burn and pump as part of an arm-focused workout.;Cable;9
833;Lying Close-Grip Bar Curl On High Pulley - Gethin Variation;The lying high-cable biceps curl is an unusual move for building the biceps—but it’s a highly effective one. Lying prone and curling down toward you provides a different stimulus than more standard approaches allow.;Cable;8
834;Standing Cable Curl - Gethin Variation;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Cable;8
835;Double Arm Cable Biceps Curl;none;Cable;9
836;AM Cable Biceps Curl;The cable straight-bar biceps curl takes a classic bodybuilding exercise, the standing barbell curl, and replaces the barbell with a handle attached to a cable. This is a common burnout move performed for moderate to high reps, such as 8-12 reps per set, as part of an upper-body or arm-focused workout.;Cable;8
837;Single-arm cable biceps curl;"The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate; this is not an exercise for using momentum or otherwise cheating. It is usually performed for moderate to high reps, such as 8-12 reps or more per set, as part of an arm-focused workout.";Cable;8
838;UP Cable Curl With Straight Bar;none;Cable;9
839;30 Arms Cable Rope Hammer Curl;none;Cable;8
840;30 Arms Squatting Cable Straight-Bar Curl;none;Cable;9
841;30 Arms High Cable Curl;none;Cable;8
842;30 Arms Cable Straight-Bar Curl;none;Cable;9
843;30 Arms Cable Concentration Curl;none;Cable;8
844;30 Arms BFR High Cable Curl;none;Cable;9
845;BFR cable rope hammer curl;"The blood flow restriction (BFR) cable rope hammer curl is an arm movement that builds biceps size and strength using a cable stack, rope grip, and blood flow restriction bands. It is popular in high-rep ""pump""-style arm workouts. The bands should be placed as high as possible on your arms, at a tightness of no greater than 8 on a scale of 10. Most BFR workouts recommend using a far lighter weight than usual, perhaps as low as 25-50 percent of a normal working weight.";Cable;8
846;Machine Bicep Curl;none;Machine;9
